Bulan,Kode MD,Kode Dealer AHM,Kode Dealer SAP,No. Mesin,No. Rangka,Kode Tipe AHM,Kode Tipe
5,R4Z,1858,5200022541,JM82E1197537,JM8211MK199447,LJ0,LJ0
5,R4Z,1858,5200022541,JM82E1205004,JM8216MK206909,LJ0,LJ0
5,R4Z,1858,5200022541,JM82E1207941,JM8210MK209868,LJ0,LJ0
5,R4Z,1858,5200022541,JM91E1464732,JM9112MK466716,LK0,LK0A
5,R4Z,1858,5200022541,JM91E1466453,JM9110MK466729,LK0,LK0A
5,R4Z,1858,5200022541,JM91E1480736,JM9110MK481134,LK0,LK0A
5,R4Z,1858,5200022541,JM91E1500349,JM9111MK498590,LKA,LKAA
5,R4Z,1858,5200022541,JM91E1512246,JM9111MK512522,LKA,LKAA
5,R4Z,1858,5200022541,JM91E1516262,JM9114MK516547,LK0,LK0A
5,R4Z,1858,5200022541,JM91E1519688,JM9119MK519945,LKA,LKAA
5,R4Z,1858,5200022541,JM91E1519695,JM9119MK519962,LKA,LKAA
5,R4Z,1858,5200022541,KB11E1289604,KB1111MK289927,HD7,HD7
5,R4Z,1858,5200022541,KCB1E1007789,KCB115MK007744,JMB,JMB
5,R4Z,1858,5200022541,KD11E1204408,KD1119MK205122,ES4,ES4
5,R4Z,1858,5200022541,KF41E2208311,KF4127MK204300,HWD,HWDA
5,R4Z,1858,5200022541,KF41E2212261,KF4123MK208148,HWD,HWDA
